エリア,クエスト名,EXP,Gold,星2さや豆,ビスケットの小箱,HPポーション（小）,HPポーション（中）,HPポーション（大）,星1ヘルメット,星1アーマー,星1グローブ,星1ブーツ,中騎士団の衣装,星2光属性武器,星2闇属性武器,星1木属性プチイマージェン,星1水属性プチイマージェン,選択式進化の実バスケット,下級防具強化石,下級アクセ強化石,下級全属性強化石,星1木属性練磨材,星3木属性練磨材,星1水属性練磨材,星2水属性練磨材,星2火属性練磨材,星3火属性練磨材,星4火属性練磨材,星1防具練磨材,星2防具練磨材,星3防具練磨材,星4防具練磨材,星3アクセ練磨材,星4アクセ練磨材,火属性昇級石,木属性昇級石,全属性昇級石,防具昇級石,アクセ昇級石,ベアドル,ガウリオ,イマージェンのたまご,武器のレシピ,防具のレシピ,武器結晶,防具結晶,時の砂,星2宝石箱（ランダム）,輝きの星,ゼリーボトル,コッペパン,★3さや豆,小鉄のピンバッジ,料理素材袋,★3おもちゃボックス,夢の欠片
グレイナス南部,事態の掌握,20300,2100,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,ネイトラムの棲み処への道1,20300,2100,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,ネイトラムの棲み処への道2,20300,2100,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,ネイトラムの棲み処への道3,21600,2100,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,守護龍ネイトラム,45900,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
グレイナス南部,新たな守護龍を探して,23000,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,遠征隊のキャンプ,50000,2800,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,手がかりを探す,60000,2800,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,ブレイスのボディーガード,60000,2800,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,遺跡調査,60000,2800,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,火の祭壇はどこに？,60000,3150,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,海岸地帯探索,70000,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,火の神殿,42000,3150,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,火の神殿探索,23000,3500,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,北への道,23000,3500,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,絶望の洞窟,47000,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
グレイナス東部,異世界の人々,49000,4550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,イグニスの棲み処へ,41000,4550,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,守護龍を縛るもの,60000,4550,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,カオスの源,60000,4900,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,謎の女性,60000,4900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス東部,帰還,60000,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
モエールの森,次の守護龍の行方,41000,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
モエールの森,迷子の妖精の子ども,41000,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
モエールの森,妖精たちの住む村,79000,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
モエールの森,消えた子どもたち,79000,7000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,ブルルを見つける,85000,7000,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,ブルルを治療する,85000,7000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,ブーブー族を探せ,147000,10500,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,ブーブー族の隠し砦,135000,10500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,大妖精さまの住み処へ,60000,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,フニャの心を見つける,60000,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,元気なフニャの心,52000,10500,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,光るフニャの心,52000,10500,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,勇敢なフニャの心,102000,10500,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,再び大妖精さまの住み処へ,121000,10500,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,大妖精さま登場,65000,10500,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
モエールの森,セレーネの森へ,65000,10500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,ヨミ族の村,52000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
セレーネの森,怪しいブーブー族,52000,15000,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,ドンパパとブーブー族,52000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
セレーネの森,ツキフクム草,44000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
セレーネの森,ツキフクム草を探す,44000,16000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,汚染されたブーブー族,35000,16000,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,森の境界の異変,35000,17000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,消えたドンパパ,26000,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
セレーネの森,真実は森の心臓に,26000,17000,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,ツキフクム草を手に入れる,54000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,シルバの罠,28000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,森の守護者シルバ,28000,18000,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,カオスコア,58000,19000,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セレーネの森,取り戻した子どもたち,30000,19000,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アレクラ高原,新たな旅の始まり,30000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
アレクラ高原,空賊団へ通じる道,33000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,
アレクラ高原,高原に鳴り響く奇声,33000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
アレクラ高原,空賊団アジト,44000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
アレクラ高原,暴れる魔物たち,44000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
アレクラ高原,怪しげな連中,50000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
アレクラ高原,変わり果てた副団長,50000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
アレクラ高原,暴走する機械,55000,21000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アレクラ高原,マルツキ族の変身の術,55000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
アレクラ高原,魔物を疑え！,59000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
アレクラ高原,副団長の痕跡,59000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
アレクラ高原,ヴァルム登場,67000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
アレクラ高原,空賊団へ戻る道,67000,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
アレクラ高原,風蛇の谷へ,85000,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
風蛇の谷,風蛇の谷,85000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
風蛇の谷,峡谷の魔物,95000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
風蛇の谷,消えた旅行者の捜索,95000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
風蛇の谷,はぐれた旅行者,104000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
風蛇の谷,旅行者救出作戦,104000,23000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風蛇の谷,予期せぬ出会い,112000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
風蛇の谷,助けを求める者,112000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
風蛇の谷,彼らの事情,120000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
風蛇の谷,ドリームパークの秘密,120000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
風蛇の谷,タリクの危機,140000,23000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風蛇の谷,黒い輪の会の目的,140000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
風蛇の谷,黒い輪の会の秘密兵器,288000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
風蛇の谷,ヴァルムの演説,294000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
